"code_zone_IPRES","code_sector_IPRES","agence_IPRES","code_zone_CSS","code_sector_CSS","agence_CSS"
DIOULACOLON,DIOULACOLON,I_KO,DIOULACOLON,DIOULACOLON,C_KO
KEUR MOMAR SARR,K.MOMAR SARR,I_LG,KEUR MOMAR SARR,K.MOMAR SARR,C_LG
COM. SEBIKOTANE,COM. SEBIKOTANE,I_RF,COM. SEBIKOTANE,COM. SEBIKOTANE,C_RF
GUEDIAWAYE,MEDINA GOUNASS,I_PK,GUEDIAWAYE,MEDINA GOUNASS,C_GY
COM. BAMBEY,COM. BAMBEY,I_DI,COM. BAMBEY,COM. BAMBEY,C_DI
COM. KOTHIARY,COM. KOTHIARY,I_TB,COM. KOTHIARY,COM. KOTHIARY,C_TB
PAKOUR,PAROUMBA,I_KO,PAKOUR,PAROUMBA,C_KO
NDINDY,GADE ESCALE,I_DI,NDINDY,GADE ESCALE,C_DI
DAKAR PLATEAU,MEDINA,I_PE,DAKAR PLATEAU,MEDINA,C_WI
COM. THIADIAYE,COM. THIADIAYE,I_MB,COM. THIADIAYE,COM. THIADIAYE,C_MB
COM. SIBASSOR,COM. SIBASSOR,I_KA,COM. SIBASSOR,COM. SIBASSOR,C_KA
NYASSIA,NYASSIA,I_ZI,NYASSIA,NYASSIA,C_ZI
MEDINA-SABAKH,MEDINA-SABAKH,I_KA,MEDINA-SABAKH,MEDINA-SABAKH,C_KA
COM. MPAL,COM. MPAL,I_SL,COM. MPAL,COM. MPAL,C_SL
GUEDIAWAYE,NDIAREME LIMAMOULAYE,I_PK,GUEDIAWAYE,NDIAREME LIMAMOULAYE,C_GY
GNIBY,BOULEL,I_KA,GNIBY,BOULEL,C_KA
KEUR MOUSSA,DIENDER GUEDJI,I_TH,KEUR MOUSSA,DIENDER GUEDJI,C_TH
COM. POUT,COM. POUT,I_TH,COM. POUT,COM. POUT,C_TH
SAKAL,SAKAL,I_LG,SAKAL,SAKAL,C_LG
GRAND DAKAR,Grand Dakar,I_DP,GRAND DAKAR,Grand Dakar,C_WI
ALMADIES,MERMOZ SACRE COEUR,I_PE,ALMADIES,MERMOZ SACRE COEUR,C_VD
BAMBYLOR,BAMBYLOR,I_RF,BAMBYLOR,BAMBYLOR,C_RF
COM. MBOUR,COM. MBOUR,I_MB,COM. MBOUR,COM. MBOUR,C_MB
NDINDY,KEUR NGALGOU,I_DI,NDINDY,KEUR NGALGOU,C_DI
MEOUANE,MEOUANE,I_TH,MEOUANE,MEOUANE,C_TH
GRAND DAKAR,SICAP LIBERTE,I_PE,GRAND DAKAR,SICAP LIBERTE,C_WI
COM. SENDOU,COM. SENDOU,I_RF,COM. SENDOU,COM. SENDOU,C_RF
SESSENE,NGUENIENE,I_MB,SESSENE,NGUENIENE,C_MB
COM. SOMONE,COM. SOMONE,I_MB,COM. SOMONE,COM. SOMONE,C_MB
GUEDIAWAYE,GOLF SUD,I_PK,GUEDIAWAYE,GOLF SUD,C_PK
ALMADIES,NGOR,I_RF,ALMADIES,NGOR,C_VD
PIKINE DAGOUDANE,MBAO,I_PK,PIKINE DAGOUDANE,MBAO,C_GY
SINDIA,SINDIA,I_MB,SINDIA,SINDIA,C_MB
VELINGARA,VELINGARA,I_MA,VELINGARA,VELINGARA,C_MA
RUFISQUE,RUFISQUE EST,I_TB,RUFISQUE,RUFISQUE EST,C_TB
DAKAR PLATEAU,FANN POINT E AMITIE,I_DP,DAKAR PLATEAU,FANN POINT E AMITIE,C_WI
COM. KAHONE,COM. KAHONE,I_KA,COM. KAHONE,COM. KAHONE,C_KA
PIKINE DAGOUDANE,GUINAW RAIL SUD,I_PK,PIKINE DAGOUDANE,GUINAW RAIL SUD,C_GY
CABROUSSE,DJEMBERING,I_ZI,CABROUSSE,DJEMBERING,C_ZI
COM. THILOGNE,COM. THILOGNE,I_MA,COM. THILOGNE,COM. THILOGNE,C_MA
COM. PATA,COM. PATA,I_KO,COM. PATA,COM. PATA,C_KO
DIENDE,OUDOUCAR,I_KO,DIENDE,OUDOUCAR,C_KO
KOUSSANAR,KOUSSANAR,I_TB,KOUSSANAR,KOUSSANAR,C_TB
MBEDIENE,MBEDIENE,I_LG,MBEDIENE,MBEDIENE,C_LG
COM. JOAL- FADIOUTH,COM. JOAL- FADIOUTH,I_MB,COM. JOAL- FADIOUTH,COM. JOAL- FADIOUTH,C_MB
DAKATELI,DAKATELI,I_TB,DAKATELI,DAKATELI,C_TB
CABROUSSE,SANTHIABA MANJACQUE,I_ZI,CABROUSSE,SANTHIABA MANJACQUE,C_ZI
FISSEL,NDIAGANIAO,I_MB,FISSEL,NDIAGANIAO,C_MB
COKI,COKI,I_LG,COKI,COKI,C_LG
CAS-CAS,MEDINA NDIATHBE,I_SL,CAS-CAS,MEDINA NDIATHBE,C_SL
COM. PASSY,COM. PASSY,I_KA,COM. PASSY,COM. PASSY,C_KA
RAO,GANDON,I_SL,RAO,GANDON,C_SL
FONGOLEMBI,FONGOLEMBI,I_TB,FONGOLEMBI,FONGOLEMBI,C_TB
COM. MBOUMBA,COM. MBOUMBA,I_SL,COM. MBOUMBA,COM. MBOUMBA,C_SL
NGUELOU,NGUELOU,I_KA,NGUELOU,NGUELOU,C_KA
SINDIAN,DJIBIDIONE,I_ZI,SINDIAN,DJIBIDIONE,C_ZI
MEOUANE,DAROU KHOUDOSS,I_TH,MEOUANE,DAROU KHOUDOSS,C_TH
GRAND DAKAR,DIEUPPEUL DERKLE,I_PE,GRAND DAKAR,DIEUPPEUL DERKLE,C_VD
GRAND DAKAR,Grand Dakar,I_PE,GRAND DAKAR,Grand Dakar,C_WI
