"secteur_activite","taux_AT","activite_principale"
Activités de fabrication,"1",BOULANGERIE PATISSERIE
ADMINISTRATION PUBLIQUE ET DEFENSE NAT,"1",Administration publique et défense
Activités de fabrication,"5",FABRICATION OUVRAGES METAUX SAUF MA§MA
ABATTAGE BETAIL,"3",Activités de fabrication
"Activités professionnelles, scientifiques et techniques","1",TELECOMMUNICATIONS ET ACTIVITE
ActivitÃ©s de fabrication,"1",ABATTAGE BETAIL
Activités de fabrication,"3",INDUSTRIES TEXTILES
OEUVRES SOCIALES,"1","Activités professionnelles, scientifiques et techniques"
ASSURANCES,"1",Activités financières et d'assurances
Activités de fabrication,"5",FABRICATION DES OBJETS EN PLASTIQUE
Administration et activités d'appui administratif,"3",SERVICES ENTRETIEN NETTOYAGE GARDIENNAGE
Activités de fabrication,"5",INDUSTRIE TABAC ALLUMETTE
Activités de fabrication,"3",FABRICATION  DE FAIENCE PORCELAINE
ACTIVITES ANNEXES DE L'AGRICULTURE,"3","Agriculture, sylviculture et pêche"
Activités de fabrication,"3",INDUSTRIE BOIS
COMMERCE DE GROS ET 1/2 GROS,"3",Commerce de gros et de détail; réparations de véhicules automobiles et de motocycles
